2017-12-12 10:39:54,219 [9] INFO  WcfServiceZXJC.ZXJCJob - 开始
 WcfServiceZXJC.GetPostname2017-12-12 10:43:23,726 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701003_L2，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:23,956 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701003_P1，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:24,157 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701003_P2，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:24,361 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701003_P3，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:24,568 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701003_P4，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:24,783 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701003_P5，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:24,984 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701003_P6，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:25,190 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701003_P7，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:25,391 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701003_P8，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:25,946 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701003_R1，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:26,135 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701004_L1，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:26,332 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701004_L2，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:26,531 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701004_P1，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:26,763 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701004_P2，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:26,962 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701004_P3，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:27,170 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701004_P4，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:27,370 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701004_P5，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:27,580 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701004_P6，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:27,777 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701004_P7，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:27,984 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701004_P8，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:28,179 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701004_R1，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:28,366 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701005_L1，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:28,576 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701005_L2，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:28,776 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701005_P1，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:28,971 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701005_P2，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:29,175 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701005_P3，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:29,372 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701005_P4，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:29,571 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701005_P5，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:29,765 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701005_P6，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:30,000 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701005_P7，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:30,201 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701005_P8，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:30,399 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701005_R1，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:30,594 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701006_L1，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:30,800 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701006_L2，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:31,020 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701006_P1，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:31,218 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701006_P10，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:31,447 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701006_P11，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:38,240 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701006_P12，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:38,463 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701006_P2，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:38,682 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701006_P3，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:38,914 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701006_P4，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:39,125 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701006_P5，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:39,339 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701006_P6，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:39,554 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701006_P7，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:39,783 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701006_P8，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:39,995 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701006_P9，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:40,203 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701006_R1，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:40,414 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701007_L1，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:40,623 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701007_L2，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:40,829 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701007_P1，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:41,066 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701007_P2，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:41,277 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701007_P3，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:41,569 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701007_P4，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:41,785 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701007_P5，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:41,992 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701007_P6，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:42,207 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701007_P7，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:42,427 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701007_P8，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:42,644 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701007_P9，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:42,869 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701007_R1，详细信息：远程服务器返回错误: (404) 未找到。
 WcfServiceZXJC.GetPostname2017-12-12 10:43:43,135 [14] ERROR WcfServiceZXJC.GetPost - 出错啦:http://101.200.182.154:8080/sitewhere/api/devices/010701008_L1，详细信息：远程服务器返回错误: (404) 未找到。
